iter	Passed	Remaining
0	2	2520
1	4	2071
2	5	1949
3	11	2966
4	13	2681
5	15	2486
6	16	2314
7	17	2198
8	19	2114
9	20	2035
10	21	1967
11	25	2072
12	26	2049
13	28	2000
14	29	1959
15	31	1920
16	32	1885
17	33	1852
18	35	1838
19	37	1813
20	40	1865
21	43	1939
22	45	1916
23	46	1892
24	47	1868
25	49	1848
26	50	1825
27	51	1804
28	55	1846
29	56	1835
30	58	1822
31	59	1804
32	61	1804
33	63	1796
34	64	1790
35	66	1792
36	69	1817
37	71	1814
38	72	1798
39	74	1784
40	75	1767
41	76	1755
42	78	1741
43	79	1729
44	80	1718
45	82	1709
46	85	1738
47	88	1762
48	90	1751
49	91	1739
50	92	1728
51	94	1718
52	95	1709
53	97	1699
54	98	1696
55	101	1711
56	102	1699
57	104	1690
58	105	1679
59	106	1671
60	108	1664
61	109	1659
62	111	1654
63	112	1649
64	117	1686
65	118	1677
66	119	1668
67	121	1660
68	122	1654
69	124	1649
70	125	1642
71	126	1634
72	128	1627
73	131	1642
74	134	1655
75	135	1650
76	137	1643
77	138	1635
78	139	1628
79	141	1621
80	142	1614
81	143	1608
82	145	1605
83	146	1600
84	148	1593
85	149	1587
86	150	1580
87	151	1574
88	153	1569
89	155	1567
90	156	1565
91	160	1583
92	162	1582
93	163	1577
94	165	1574
95	166	1570
96	168	1564
97	169	1559
98	170	1553
99	172	1549
100	175	1561
101	178	1567
102	179	1562
103	180	1557
104	182	1552
105	183	1547
106	184	1543
107	186	1538
108	190	1554
109	192	1556
110	193	1552
111	195	1547
112	196	1542
113	197	1537
114	199	1532
115	200	1527
116	201	1520
117	204	1527
118	205	1524
119	207	1519
120	208	1514
121	209	1507
122	210	1503
123	212	1498
124	213	1494
125	214	1491
126	216	1485
127	218	1491
128	221	1494
129	223	1493
130	224	1489
131	225	1484
132	227	1481
133	228	1477
134	230	1473
135	231	1470
136	235	1481
137	236	1477
138	237	1473
139	239	1469
140	240	1465
141	241	1458
142	242	1454
143	244	1451
144	245	1446
145	246	1442
146	250	1452
147	251	1448
148	252	1444
149	254	1440
150	255	1436
151	256	1433
152	258	1429
153	259	1425
154	260	1421
155	262	1418
156	265	1423
157	268	1431
158	270	1429
159	271	1427
160	272	1421
161	274	1418
162	275	1414
163	276	1410
164	279	1416
165	281	1413
166	282	1410
167	284	1407
168	285	1403
169	286	1400
170	288	1396
171	289	1393
172	290	1391
173	294	1396
174	296	1397
175	298	1397
176	300	1396
177	302	1395
178	304	1394
179	305	1392
180	307	1390
181	310	1395
182	312	1393
183	313	1390
184	314	1387
185	316	1383
186	317	1379
187	318	1376
188	320	1374
189	321	1371
190	323	1371
191	325	1368
192	326	1365
193	327	1362
194	329	1359
195	330	1355
196	331	1352
197	333	1349
198	334	1346
199	336	1347
200	339	1349
201	340	1345
202	342	1342
203	343	1339
204	345	1338
205	346	1335
206	347	1332
207	348	1328
208	350	1325
209	354	1334
210	356	1334
211	358	1331
212	359	1329
213	361	1327
214	362	1323
215	363	1321
216	365	1318
217	367	1319
218	369	1316
219	370	1313
220	372	1311
221	373	1308
222	374	1305
223	376	1302
224	377	1299
225	378	1296
226	379	1293
227	382	1295
228	385	1298
229	387	1296
230	388	1293
231	389	1290
232	391	1287
233	392	1284
234	393	1282
235	395	1280
236	399	1284
237	400	1283
238	402	1280
239	403	1277
240	404	1275
241	406	1272
242	407	1269
243	408	1267
244	411	1267
245	412	1264
246	413	1262
247	415	1259
248	416	1256
249	418	1254
250	419	1251
251	420	1249
252	422	1246
253	423	1243
254	426	1245
255	427	1243
256	429	1240
257	430	1238
258	431	1235
259	433	1233
260	434	1230
261	436	1228
262	437	1225
263	438	1223
264	445	1235
265	447	1233
266	448	1231
267	449	1228
268	451	1225
269	452	1223
270	453	1220
271	456	1221
272	458	1220
273	459	1217
274	461	1215
275	462	1214
276	464	1211
277	465	1209
278	466	1206
279	468	1203
280	470	1204
281	472	1203
282	473	1200
283	475	1198
284	476	1195
285	477	1193
286	479	1190
287	480	1188
288	482	1186
289	483	1183
290	486	1185
291	489	1186
292	490	1183
293	492	1181
294	493	1179
295	494	1176
296	496	1174
297	497	1172
298	499	1170
299	502	1171
300	503	1169
301	504	1166
302	506	1164
303	507	1161
304	508	1159
305	510	1157
306	511	1154
307	512	1152
308	514	1149
309	517	1152
310	519	1150
311	520	1147
312	521	1145
313	523	1143
314	524	1140
315	526	1138
316	527	1136
317	528	1134
318	532	1136
319	535	1138
320	536	1135
321	538	1133
322	539	1131
323	541	1128
324	542	1126
325	543	1123
326	545	1121
327	546	1120
328	548	1119
329	550	1116
330	551	1114
331	553	1112
332	554	1110
333	555	1108
334	557	1105
335	559	1105
